"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.600755606E1,6.503308770E1,2.544600380E1,1.356344198E1,0.000000000E0,NaN,2.441880417E1,5.831408501E0
7.700487242E1,6.503308777E1,2.544600377E1,1.359646197E1,0.000000000E0,NaN,2.454993248E1,5.709184170E0
7.800548450E1,6.503308756E1,2.544600360E1,1.359218958E1,0.000000000E0,NaN,2.614104271E1,5.702686787E0
7.900721070E1,6.503308761E1,2.544600323E1,1.361867878E1,0.000000000E0,NaN,2.688184166E1,5.699675560E0
8.000582060E1,6.503308769E1,2.544600157E1,1.352242616E1,0.000000000E0,NaN,2.884542465E1,5.929727077E0
8.100599445E1,6.503308763E1,2.544600147E1,1.350625186E1,0.000000000E0,NaN,3.160103989E1,6.148282528E0
8.200658549E1,6.503309416E1,2.544601309E1,1.381405057E1,0.000000000E0,NaN,3.407802200E1,6.396936893E0
8.300758221E1,6.503309277E1,2.544601279E1,1.412069172E1,0.000000000E0,NaN,1.223157024E1,6.745851040E0
8.400521106E1,6.503309261E1,2.544601368E1,1.417562351E1,0.000000000E0,NaN,1.295764732E1,7.434614658E0
8.500296768E1,6.503309268E1,2.544601390E1,1.416091403E1,0.000000000E0,NaN,1.396191216E1,8.192988396E0
8.599983825E1,6.503309279E1,2.544601195E1,1.408773266E1,0.000000000E0,NaN,1.457411194E1,8.279980659E0
8.700382799E1,6.503309265E1,2.544601150E1,1.405208814E1,0.000000000E0,NaN,1.519666767E1,8.222471237E0
8.800404945E1,6.503309168E1,2.544601231E1,1.434133421E1,0.000000000E0,NaN,1.564766407E1,8.062384605E0
8.900518768E1,6.503309139E1,2.544601325E1,1.428988177E1,0.000000000E0,NaN,1.631624413E1,7.933322430E0
9.000460424E1,6.503309130E1,2.544601312E1,1.428811177E1,0.000000000E0,NaN,1.778793907E1,7.844507217E0
9.100167299E1,6.503309180E1,2.544601186E1,1.412887074E1,0.000000000E0,NaN,1.882730484E1,7.922124386E0
9.200731189E1,6.503309180E1,2.544601186E1,1.412887074E1,0.000000000E0,NaN,2.080158424E1,8.028569221E0
9.300684705E1,6.503309127E1,2.544601272E1,1.409163958E1,0.000000000E0,NaN,2.297945023E1,8.469734192E0
9.400460684E1,6.503309126E1,2.544601272E1,1.409530170E1,0.000000000E0,NaN,2.615668488E1,8.925132751E0
9.500124278E1,6.503309126E1,2.544601272E1,1.409530170E1,0.000000000E0,NaN,2.962212563E1,9.368980408E0
9.600279757E1,6.503309066E1,2.544601362E1,1.402962819E1,0.000000000E0,NaN,3.185090637E1,9.555769920E0
9.700505252E1,6.503309066E1,2.544601362E1,1.402962819E1,0.000000000E0,NaN,3.481682205E1,9.742051125E0
9.800542564E1,6.503309070E1,2.544601390E1,1.398592702E1,0.000000000E0,NaN,3.788497925E1,1.011603165E1
9.900507033E1,6.503309088E1,2.544601387E1,1.395400556E1,0.000000000E0,NaN,3.938378143E1,1.007582378E1
1.000038925E2,6.503309177E1,2.544601241E1,1.401345332E1,0.000000000E0,NaN,4.062676620E1,1.036188126E1
1.010046091E2,6.503309275E1,2.544601088E1,1.406362369E1,0.000000000E0,NaN,4.255810928E1,1.056791115E1
1.020017444E2,6.503309275E1,2.544601088E1,1.406362369E1,0.000000000E0,NaN,4.577993393E1,1.077780724E1
1.030041196E2,6.503309251E1,2.544601184E1,1.405178305E1,0.000000000E0,NaN,4.707186890E1,1.069334412E1
1.040037219E2,6.503309251E1,2.544601184E1,1.405178305E1,0.000000000E0,NaN,4.938043976E1,1.066362000E1
1.050054302E2,6.503309075E1,2.544599621E1,1.393801285E1,0.000000000E0,NaN,1.611170959E1,1.082626057E1
1.060027301E2,6.503309075E1,2.544599621E1,1.393801285E1,0.000000000E0,NaN,1.809542847E1,1.144850731E1
1.070033352E2,6.503309075E1,2.544599621E1,1.393801285E1,0.000000000E0,NaN,2.163733482E1,1.271923542E1
1.080025133E2,6.503309075E1,2.544599621E1,1.393801285E1,0.000000000E0,NaN,2.909403801E1,1.575030231E1
1.090037861E2,6.503307519E1,2.544562225E1,1.494762965E1,1.049999952E0,2.503999939E2,4.000831223E1,1.899862862E1
1.359987442E2,6.503309994E1,2.544583123E1,5.491217276E0,5.400000215E-1,2.770000000E2,2.173012161E1,1.634743690E1
1.369976288E2,6.503316797E1,2.544568186E1,4.337124136E0,4.199999869E-1,2.705000000E2,1.240157795E1,1.070738506E1
1.380062085E2,6.503317176E1,2.544566105E1,2.214562188E0,8.700000048E-1,2.897999878E2,9.461272240E0,8.607477188E0
1.390053860E2,6.503316521E1,2.544563310E1,2.487755703E0,5.299999714E-1,2.905000000E2,7.685278416E0,7.284054756E0
1.400021028E2,6.503317788E1,2.544557946E1,4.121351853E0,3.300000131E-1,2.972000122E2,5.527206421E0,5.544680595E0
1.409972689E2,6.503318180E1,2.544551151E1,4.480536180E0,7.799999714E-1,2.685000000E2,4.608942509E0,4.555428505E0
1.420049282E2,6.503318780E1,2.544543780E1,5.590207447E0,1.320000052E0,2.767999878E2,3.943382025E0,3.727794886E0
1.430024996E2,6.503318133E1,2.544535248E1,7.018058952E0,1.889999986E0,2.541999969E2,3.790092468E0,3.210861206E0
1.440018769E2,6.503318420E1,2.544529055E1,8.171677824E0,1.029999971E0,2.546999969E2,3.790092468E0,3.238947630E0
1.449956031E2,6.503317690E1,2.544524546E1,8.350082530E0,1.289999962E0,2.546000061E2,3.790092468E0,3.193869829E0
1.460032224E2,6.503317964E1,2.544523199E1,7.753095380E0,4.600000083E-1,2.545000000E2,3.790092468E0,2.972730398E0
1.470047673E2,6.503318131E1,2.544522074E1,7.122112273E0,3.799999952E-1,2.543000031E2,3.790092468E0,2.555796146E0
1.480086111E2,6.503318078E1,2.544521123E1,7.793315259E0,2.199999988E-1,2.540000000E2,3.790092468E0,2.610398769E0
1.489980292E2,6.503318195E1,2.544519964E1,8.149148728E0,3.400000036E-1,2.541999969E2,3.790092468E0,2.500000000E0
1.500050013E2,6.503318606E1,2.544518344E1,9.226660299E0,7.400000095E-1,2.541999969E2,3.790092468E0,2.500000000E0
1.510008622E2,6.503319170E1,2.544516493E1,9.871859042E0,7.799999714E-1,2.541999969E2,3.790092468E0,2.500000000E0
1.520093078E2,6.503319782E1,2.544515003E1,9.554655567E0,6.200000048E-1,2.543000031E2,3.790092468E0,2.500000000E0
1.529958912E2,6.503320865E1,2.544513137E1,9.112877119E0,1.559999943E0,3.363999939E2,3.790092468E0,2.500000000E0
1.539981379E2,6.503322266E1,2.544510969E1,8.636429160E0,1.600000024E0,3.373999939E2,3.790092468E0,2.500000000E0
1.550005862E2,6.503323532E1,2.544508846E1,9.355965669E0,1.289999962E0,3.362000122E2,3.790092468E0,2.500000000E0
1.560030661E2,6.503324520E1,2.544507364E1,9.384524853E0,8.299999833E-1,3.361000061E2,3.790092468E0,2.500000000E0
1.570091772E2,6.503325472E1,2.544506479E1,9.544066154E0,1.019999981E0,3.362000122E2,3.790092468E0,2.500000000E0
1.580029340E2,6.503326507E1,2.544505955E1,9.346734883E0,1.029999971E0,3.362999878E2,3.790092468E0,2.500000000E0
1.589943197E2,6.503327629E1,2.544505106E1,9.109424948E0,1.090000033E0,3.362999878E2,3.790092468E0,2.500000000E0
1.600032346E2,6.503328843E1,2.544503786E1,9.687788056E0,1.129999995E0,3.362999878E2,3.790092468E0,2.500000000E0
1.610106086E2,6.503330055E1,2.544502602E1,9.143165453E0,1.190000057E0,3.417000122E2,3.790092468E0,2.500000000E0
1.620010544E2,6.503331133E1,2.544501603E1,8.431978608E0,9.300000072E-1,3.362000122E2,3.790092468E0,2.500000000E0
1.630001541E2,6.503332443E1,2.544500698E1,8.461696678E0,1.590000033E0,3.441000061E2,3.790092468E0,2.500000000E0
1.640130259E2,6.503333858E1,2.544499571E1,8.380757393E0,1.490000010E0,3.406000061E2,3.790092468E0,2.500000000E0
1.650104992E2,6.503335172E1,2.544498196E1,8.044325128E0,1.470000029E0,3.386000061E2,3.790092468E0,2.500000000E0
1.660096985E2,6.503336375E1,2.544496870E1,7.791267375E0,1.330000043E0,3.367000122E2,3.790092468E0,2.500000000E0
